name,gender,birth_date,birth_country,country,country_code,discipline,discipline_code,residence_country,height_m/ft
ADAM Amal,Female,1981-12-24,NA,Egypt,EGY,Archery,ARC,NA,NA
ADAM Constantin,Male,1996-07-12,Romania,Romania,ROU,Rowing,ROW,Romania,2.03/6'7''
ADAMEK Klaudia,Female,1999-03-22,NA,Poland,POL,Athletics,ATH,Poland,NA
ADAMKIEWICZ Patrycja,Female,1998-06-11,NA,Poland,POL,Taekwondo,TKW,NA,NA
ADAMS Liam,Male,1986-09-04,Australia,Australia,AUS,Athletics,ATH,Australia,NA
ADAMS Paul,Male,1992-06-04,Australia,Australia,AUS,Shooting,SHO,Australia,1.85/6'0''
ADAMS Taeyanna,Female,2002-03-14,United States of America,Federated States of Micronesia,FSM,Swimming,SWM,NA,NA
ADAMS Valerie,Female,1984-10-06,New Zealand,New Zealand,NZL,Athletics,ATH,New Zealand,NA
ADAMUS Bartlomiej Stefan,Male,2000-05-12,NA,Poland,POL,Weightlifting,WLF,NA,1.83/6'0''
ADAR Yasemin,Female,1991-12-06,Turkey,Turkey,TUR,Wrestling,WRE,Turkey,NA
ADEBAYO Bam,Male,1997-07-18,United States of America,United States of America,USA,Basketball,BKB,NA,2.06/6'9''
ADEGOKE Enoch,Male,2000-03-08,NA,Nigeria,NGR,Athletics,ATH,Nigeria,NA
ADEKUOROYE Odunayo Folasade,Female,1993-12-10,Nigeria,Nigeria,NGR,Wrestling,WRE,NA,NA
ADEL Ibrahim,Male,2001-04-23,Egypt,Egypt,EGY,Football,FBL,NA,1.78/5'10''
ADENIYI Aminat Oluwafunmilayo,Female,1993-04-21,Nigeria,Nigeria,NGR,Wrestling,WRE,Nigeria,NA
ADESOKAN Dorcas Ajoke,Female,1998-07-05,Nigeria,Nigeria,NGR,Badminton,BDM,Nigeria,NA
ADILKHANOVA Alina,Female,2001-09-26,Kazakhstan,Kazakhstan,KAZ,Rhythmic Gymnastics,GRY,Kazakhstan,NA
ADLERTEG Jonna,Female,1995-06-06,Sweden,Sweden,SWE,Artistic Gymnastics,GAR,Sweden,NA
ADLINGTON Sarah,Female,1986-08-05,Great Britain,Great Britain,GBR,Judo,JUD,Great Britain,1.86/6'1''
ADO Pauline,Female,1991-02-14,France,France,FRA,Surfing,SRF,France,NA
ADOLF Balazs,Male,1999-09-05,NA,Hungary,HUN,Canoe Sprint,CSP,NA,1.88/6'2''
ADOMAVICIUS Aurimas,Male,1993-09-23,Lithuania,Lithuania,LTU,Rowing,ROW,Lithuania,NA
AEDO Yanara,Female,1993-08-05,Chile,Chile,CHI,Football,FBL,Spain,1.55/5'1''
AERNOUDTS Violaine,Female,1999-10-23,France,France,FRA,Rowing,ROW,France,1.73/5'8''
AFANADOR Brian,Male,1997-03-06,Puerto Rico,Puerto Rico,PUR,Table Tennis,TTE,NA,NA
AFONSO Paixao,Male,1991-01-02,Angola,Angola,ANG,Sailing,SAL,NA,1.77/5'9''
AFONSO Salome,Female,1997-11-19,Portugal,Portugal,POR,Athletics,ATH,Portugal,NA
AFOUMBA Gilles Anthony,Male,1996-06-14,NA,Congo,CGO,Athletics,ATH,NA,NA
AFREMOVA Natalia,Female,1998-11-14,Russian Federation,ROC,ROC,Cycling BMX Racing,BMX,Russian Federation,1.64/5'4''
AFRIAT Charlotte,Female,2002-10-17,France,Monaco,MON,Athletics,ATH,NA,NA
AGADA Caleb,Male,1994-08-31,Canada,Nigeria,NGR,Basketball,BKB,NA,1.91/6'3''
AGAHOZO Alphonsine,Female,1997-10-18,Rwanda,Rwanda,RWA,Swimming,SWM,NA,NA
AGARD Terrence,Male,1990-04-16,NA,Netherlands,NED,Athletics,ATH,NA,NA
AGARIE Yuto,Male,1993-07-06,Japan,Japan,JPN,Handball,HBL,NA,NA
AGATSUMA Haruka,Female,1994-12-18,NA,Japan,JPN,Baseball/Softball,BSB,NA,1.72/5'7''
AGBEGNENOU Clarisse,Female,1992-10-25,France,France,FRA,Judo,JUD,NA,NA
AGERO Eden,Male,1990-09-17,NA,Kenya,KEN,Rugby Sevens,RUG,NA,1.83/6'0''
AGGEFORS Mikael,Male,1985-01-20,Sweden,Sweden,SWE,Handball,HBL,Denmark,1.91/6'3''
AGHAEIHAJIAGHA Soraya,Female,1996-01-28,Islamic Republic of Iran,Islamic Republic of Iran,IRI,Badminton,BDM,NA,NA
AGHAMIROVA Zohra,Female,2001-08-08,Azerbaijan,Azerbaijan,AZE,Rhythmic Gymnastics,GRY,NA,1.54/5'0''
AGHAMIRZAEIJENAGHRAD Ali,Male,1993-03-04,NA,Islamic Republic of Iran,IRI,Canoe Sprint,CSP,Islamic Republic of Iran,NA
AGHASYAN Levon,Male,1995-01-19,Armenia,Armenia,ARM,Athletics,ATH,Armenia,NA
AGHAYEV Rafael,Male,1985-03-04,Azerbaijan,Azerbaijan,AZE,Karate,KTE,NA,NA
AGIOMOR Ekerekeme,Male,1994-12-16,NA,Nigeria,NGR,Wrestling,WRE,Nigeria,NA
AGIURGIUCULESE Alexandra,Female,2001-01-15,Romania,Italy,ITA,Rhythmic Gymnastics,GRY,Italy,1.68/5'6''
AGRALI Yavuz,Male,1992-04-09,NA,Turkey,TUR,Athletics,ATH,Turkey,NA
AGREBI Omar,Male,1992-08-26,Tunisia,Tunisia,TUN,Volleyball,VVO,NA,2.05/6'8''
AGRUSTI Andrea,Male,1995-08-30,Italy,Italy,ITA,Athletics,ATH,Italy,NA
AGUIAR Mayra,Female,1991-08-03,Brazil,Brazil,BRA,Judo,JUD,NA,NA
AGUILAR Ali,Female,1995-08-28,United States of America,United States of America,USA,Baseball/Softball,BSB,NA,1.70/5'6''
AGUILAR Andres,Male,1996-12-07,NA,Chile,CHI,Archery,ARC,NA,NA
AGUILAR Evelis Jazmin,Female,1993-01-03,Colombia,Colombia,COL,Athletics,ATH,Colombia,NA
AGUINAGALDE AQUIZU Julen,Male,1982-12-08,NA,Spain,ESP,Handball,HBL,NA,1.96/6'5''
AGUIRRE Eduardo,Male,1998-08-03,Mexico,Mexico,MEX,Football,FBL,NA,1.76/5'9''
AGUIRRE Erick,Male,1997-02-23,Mexico,Mexico,MEX,Football,FBL,NA,1.71/5'7''
AGUIRRE Unai,Male,2002-07-14,NA,Spain,ESP,Water Polo,WPO,NA,1.92/6'3''
AGUNDEZ GARCIA Gabriela,Female,2000-08-04,Mexico,Mexico,MEX,Diving,DIV,Mexico,1.56/5'1''
AH TONG Marion Faustino,Male,2000-04-01,NA,Samoa (until 1996 Western Samoa),SAM,Boxing,BOX,NA,NA
AHMAD Muhammad Isa,Male,1998-02-23,Singapore,Brunei Darussalam,BRU,Swimming,SWM,Brunei Darussalam,NA
AHMED Aiman,Male,2001-05-14,Saudi Arabia,Saudi Arabia,KSA,Football,FBL,NA,1.64/5'4''
AHMED ALI YUSUF Abdulla Essa,Male,2002-11-20,NA,Bahrain,BRN,Swimming,SWM,NA,NA
AHMED Enas,Female,1989-01-01,Egypt,Egypt,EGY,Wrestling,WRE,NA,NA
AHMED Junayna,Female,2003-06-30,Great Britain,Bangladesh,BAN,Swimming,SWM,Great Britain,NA
AHMED Mohamed,Male,1993-07-20,Bahrain,Bahrain,BRN,Handball,HBL,NA,1.85/6'0''
AHMED Mohammed,Male,1991-01-05,Somalia,Canada,CAN,Athletics,ATH,United States of America,NA
AHMED Samaa,Female,1998-07-22,NA,Egypt,EGY,Canoe Sprint,CSP,NA,NA
AHN Joonsoo,Male,1998-01-28,Republic of Korea,Republic of Korea,KOR,Football,FBL,Republic of Korea,1.88/6'2''
AHOUANWANOU Odile,Female,1991-01-05,Benin,Benin,BEN,Athletics,ATH,France,NA
AHOURE Murielle,Female,1987-08-23,Côte d'Ivoire,Côte d'Ivoire,CIV,Athletics,ATH,Norway,NA
AHSAN Mohammad,Male,1987-09-07,Indonesia,Indonesia,INA,Badminton,BDM,Indonesia,NA
AHSINGER Nicole,Female,1998-05-12,United States of America,United States of America,USA,Trampoline Gymnastics,GTR,United States of America,1.63/5'4''
AHYE Michelle-Lee,Female,1992-04-10,Trinidad and Tobago,Trinidad and Tobago,TTO,Athletics,ATH,NA,NA
AI Yanhan,Female,2002-02-07,People's Republic of China,People's Republic of China,CHN,Swimming,SWM,People's Republic of China,NA
AICARDI Matteo,Male,1986-04-19,Italy,Italy,ITA,Water Polo,WPO,NA,1.92/6'3''
AICOBOAE Vlad,NA,NA,NA,Romania,ROU,NA,ROW,NA,NA
AIGNER Hannes,Male,1989-03-19,Germany,Germany,GER,Canoe Slalom,CSL,Germany,NA
AILINCAI Adriana,Female,1999-04-11,Romania,Romania,ROU,Rowing,ROW,Romania,1.85/6'0''
AIMABLE Steven,Male,1999-02-07,NA,Senegal,SEN,Swimming,SWM,NA,NA
AINAGULOV Mirambek,Male,1994-02-17,Kazakhstan,Kazakhstan,KAZ,Wrestling,WRE,Kazakhstan,NA
AIOANI Marian,Male,1999-11-07,Romania,Romania,ROU,Football,FBL,Romania,1.86/6'1''
AISAH Windy Cantika,Female,2002-06-11,Indonesia,Indonesia,INA,Weightlifting,WLF,Indonesia,NA
AIT DAOUD Kamel,Male,1985-05-18,NA,Algeria,ALG,Rowing,ROW,NA,NA
AIT OUAGRAM Zied,Male,1988-12-18,Tunisia,Morocco,MAR,Wrestling,WRE,Morocco,NA
AIT SAID Samir,Male,1989-11-01,France,France,FRA,Artistic Gymnastics,GAR,France,1.68/5'6''
AITCHISON Holly,Female,1997-09-13,Great Britain,Great Britain,GBR,Rugby Sevens,RUG,NA,1.75/5'8''
AIZAWA Akira,Male,1997-07-18,Japan,Japan,JPN,Athletics,ATH,NA,NA
AJOMALE Bolade,Male,1995-08-31,NA,Canada,CAN,Athletics,ATH,Canada,1.80/5'10''
AKAHO Himawari,Female,1998-08-28,Japan,Japan,JPN,Basketball,BKB,NA,1.85/6'0''
AKGUL Taha,Male,1990-11-22,Turkey,Turkey,TUR,Wrestling,WRE,Turkey,NA
AKGUN Omer,Male,1982-02-15,Turkey,Turkey,TUR,Shooting,SHO,Turkey,NA
AKHAIMOVA Liliia,Female,1997-03-17,Russian Federation,ROC,ROC,Artistic Gymnastics,GAR,Russian Federation,1.56/5'1''
AKHMADIEV Ildar,Male,2000-03-01,Tajikistan,Tajikistan,TJK,Athletics,ATH,Tajikistan,NA
AKHMETOVA Tatyana,Female,1985-10-17,Kazakhstan,Kazakhstan,KAZ,Wrestling,WRE,Kazakhstan,NA
AKHTAR Muhammad Khalil,NA,NA,NA,Pakistan,PAK,NA,SHO,NA,NA
AKIMENKO Mikhail,Male,1995-12-06,NA,ROC,ROC,Athletics,ATH,Russian Federation,NA
AKINRADEWO Foluke,Female,1987-10-05,Canada,United States of America,USA,Volleyball,VVO,NA,1.91/6'3''
AKINYI Elizabeth,Female,1993-09-25,NA,Kenya,KEN,Boxing,BOX,NA,NA
AKKUS Mihrac,Male,2000-06-01,Turkey,Turkey,TUR,Judo,JUD,NA,NA
AKMAL Nurul,Female,1993-02-12,Indonesia,Indonesia,INA,Weightlifting,WLF,Indonesia,NA
AKMATALIEV Ernazar,Male,1998-07-02,Kyrgyzstan,Kyrgyzstan,KGZ,Wrestling,WRE,NA,NA
