name,gender,birth_date,birth_country,country,country_code,discipline,discipline_code,residence_country,height_m/ft
LAWRENCE Ashley,Female,1995-06-11,Canada,Canada,CAN,Football,FBL,France,1.64/5'4''
LAWRENCE Shadae,Female,1995-12-31,Jamaica,Jamaica,JAM,Athletics,ATH,NA,NA
LAWRIE Danielle,Female,1987-04-11,Canada,Canada,CAN,Baseball/Softball,BSB,United States of America,1.70/5'6''
LAWSON Nathan,Male,1999-01-23,NA,Australia,AUS,Rugby Sevens,RUG,Australia,1.92/6'3''
LAWTON Amy Rose,Female,2002-01-19,NA,Australia,AUS,Hockey,HOC,NA,NA
LAY Jian Fang,Female,1973-03-06,People's Republic of China,Australia,AUS,Table Tennis,TTE,NA,NA
LAYNE Kelly,Female,1975-05-14,Australia,Australia,AUS,Equestrian,EQU,United States of America,NA
LAZAREV Aiaal,Male,1986-03-19,NA,Kyrgyzstan,KGZ,Wrestling,WRE,NA,NA
LAZAREVA Anna,Female,1997-01-31,NA,ROC,ROC,Volleyball,VVO,Russian Federation,1.90/6'2''
LAZCANO Julieta Constanza,Female,1989-07-25,Argentina,Argentina,ARG,Volleyball,VVO,Brazil,1.89/6'2''
LAZIC Dorde,Male,1996-05-19,Serbia,Serbia,SRB,Water Polo,WPO,NA,NA
LAZOR Annie,Female,1994-08-17,United States of America,United States of America,USA,Swimming,SWM,United States of America,NA
le BLOUCH Kilian,Male,1989-10-07,France,France,FRA,Judo,JUD,France,NA
le CLOS Chad,Male,1992-04-12,South Africa,South Africa,RSA,Swimming,SWM,South Africa,NA
le FEE Enzo,Male,2000-02-03,France,France,FRA,Football,FBL,NA,1.70/5'6''
le GOFF Nicolas,Male,1992-02-15,France,France,FRA,Volleyball,VVO,France,2.06/6'9''
le NET Marie,Female,2000-01-25,NA,France,FRA,Cycling Track,CTR,NA,1.73/5'8''
le PECHOUX Erwann,Male,1982-01-13,France,France,FRA,Fencing,FEN,France,NA
LE Thanh Tung,Male,1995-10-24,Vietnam,Vietnam,VIE,Artistic Gymnastics,GAR,Vietnam,1.65/5'4''
LEAHY Conor,Male,1999-04-16,NA,Australia,AUS,Cycling Track,CTR,NA,NA
LEAL HIDALGO Yoandy,Male,1988-08-31,Cuba,Brazil,BRA,Volleyball,VVO,NA,2.02/6'7''
LEAL Rayssa,Female,2008-01-04,Brazil,Brazil,BRA,Skateboarding,SKB,Brazil,NA
LEARMONTH Jessica,Female,1988-04-18,Great Britain,Great Britain,GBR,Triathlon,TRI,Great Britain,NA
LEASK Harry,Male,1995-10-16,NA,Great Britain,GBR,Rowing,ROW,Great Britain,1.95/6'4''
LEAT Anna,Female,2001-06-26,New Zealand,New Zealand,NZL,Football,FBL,NA,1.73/5'8''
LEAVY Adam,Male,1995-09-21,Ireland,Ireland,IRL,Rugby Sevens,RUG,Ireland,1.84/6'0''
LEBEDEVA Anastasia,Female,1993-05-20,Russian Federation,ROC,ROC,Rowing,ROW,Russian Federation,NA
LEBEDEVA Iana,Female,2001-12-19,Russian Federation,ROC,ROC,Trampoline Gymnastics,GTR,Russian Federation,1.62/5'3''
LEBESSON Emmanuel,Male,1988-04-24,France,France,FRA,Table Tennis,TTE,France,NA
LEBLANC-BAZINET Rachel,Female,1988-10-10,Canada,Canada,CAN,Weightlifting,WLF,Canada,NA
LECHNER Eva,Female,1985-07-01,Italy,Italy,ITA,Cycling Mountain Bike,MTB,Italy,1.65/5'4''
LECHUGA Kenia,Female,1994-06-26,Mexico,Mexico,MEX,Rowing,ROW,Mexico,NA
LECLUYSE Fanny,Female,1992-03-11,Belgium,Belgium,BEL,Swimming,SWM,Belgium,NA
LECOINTRE Camille,Female,1985-02-25,France,France,FRA,Sailing,SAL,France,1.59/5'2''
LECOMTE Loana,Female,1999-08-08,France,France,FRA,Cycling Mountain Bike,MTB,France,NA
LEDECKY Kathleen,Female,1997-03-17,United States of America,United States of America,USA,Swimming,SWM,United States of America,NA
LEDESMA Jeremias,Male,1993-02-13,Argentina,Argentina,ARG,Football,FBL,NA,1.87/6'1''
LEDUC Cynthia,Female,1997-02-16,NA,France,FRA,Athletics,ATH,NA,1.71/5'7''
LEE Ahreum,Female,1992-04-22,Republic of Korea,Republic of Korea,KOR,Taekwondo,TKW,NA,NA
LEE Chih Kai,Male,1996-04-03,Chinese Taipei,Chinese Taipei,TPE,Artistic Gymnastics,GAR,Chinese Taipei,1.70/5'6''
LEE Dabin,Female,1996-12-07,Republic of Korea,Republic of Korea,KOR,Taekwondo,TKW,NA,NA
LEE Daehoon,Male,1992-02-05,Republic of Korea,Republic of Korea,KOR,Taekwondo,TKW,Republic of Korea,NA
LEE Donggyeong,Male,1997-09-20,Republic of Korea,Republic of Korea,KOR,Football,FBL,NA,1.75/5'8''
LEE Dongjun,Male,1997-02-01,NA,Republic of Korea,KOR,Football,FBL,Republic of Korea,1.73/5'8''
LEE Euilee,Male,2002-06-16,Republic of Korea,Republic of Korea,KOR,Baseball/Softball,BSB,NA,1.85/6'0''
LEE Eunji,Female,2006-07-23,NA,Republic of Korea,KOR,Swimming,SWM,NA,NA
LEE Ho Ching,Female,1992-11-24,NA,"Hong Kong, China",HKG,Table Tennis,TTE,NA,NA
LEE Hoi Yan Jessica,Female,1990-07-21,NA,"Hong Kong, China",HKG,Cycling Track,CTR,Great Britain,NA
LEE Hojoon,Male,2001-02-14,Republic of Korea,Republic of Korea,KOR,Swimming,SWM,Republic of Korea,NA
LEE Hup Wei,Male,1987-05-05,Malaysia,Malaysia,MAS,Athletics,ATH,NA,NA
LEE Hyein,Female,1995-01-16,Republic of Korea,Republic of Korea,KOR,Fencing,FEN,NA,NA
LEE Hyejin,Female,1992-01-23,NA,Republic of Korea,KOR,Cycling Track,CTR,NA,1.65/5'4''
LEE Jinkyu,Male,1994-07-04,NA,Republic of Korea,KOR,Rugby Sevens,RUG,NA,1.80/5'10''
LEE Jongjun,Male,1989-12-16,Republic of Korea,Republic of Korea,KOR,Shooting,SHO,NA,NA
LEE Juho,Male,1995-01-23,NA,Republic of Korea,KOR,Swimming,SWM,NA,NA
LEE Jung Hoo,Male,1998-08-20,Japan,Republic of Korea,KOR,Baseball/Softball,BSB,NA,1.85/6'0''
LEE Junho,Male,1995-10-22,NA,Republic of Korea,KOR,Artistic Gymnastics,GAR,NA,1.70/5'6''
LEE Kangin,Male,2001-02-19,Republic of Korea,Republic of Korea,KOR,Football,FBL,NA,1.73/5'8''
LEE Kareena,Female,1993-12-16,NA,Australia,AUS,Marathon Swimming,OWS,Australia,1.75/5'8''
LEE Kwanghyun,Male,1993-08-17,Republic of Korea,Republic of Korea,KOR,Fencing,FEN,NA,NA
LEE Lauren,Female,2004-02-12,NA,Haiti,HAI,Taekwondo,TKW,NA,NA
LEE Matty,Male,1998-03-05,Great Britain,Great Britain,GBR,Diving,DIV,Great Britain,1.75/5'8''
LEE Meng Yean,Female,1994-03-30,Malaysia,Malaysia,MAS,Badminton,BDM,NA,NA
LEE Migyeong,Female,1991-10-02,Republic of Korea,Republic of Korea,KOR,Handball,HBL,NA,1.70/5'6''
LEE Min,Female,1995-06-03,Chinese Taipei,Chinese Taipei,TPE,Golf,GLF,NA,1.62/5'3''
LEE Minjee,Female,1996-05-27,Australia,Australia,AUS,Golf,GLF,Australia,NA
LEE Sangmin,Male,1998-01-01,Republic of Korea,Republic of Korea,KOR,Football,FBL,Republic of Korea,1.88/6'2''
LEE Sangsu,Male,1990-08-13,NA,Republic of Korea,KOR,Table Tennis,TTE,NA,NA
LEE Se-Bom,Male,2001-06-12,NA,Australia,AUS,Swimming,SWM,Australia,NA
LEE Seon Mi,Female,2000-08-01,Republic of Korea,Republic of Korea,KOR,Weightlifting,WLF,NA,NA
LEE Seongbae,Male,1990-04-07,NA,Republic of Korea,KOR,Rugby Sevens,RUG,Republic of Korea,1.82/5'11''
LEE Sohee,Female,1994-06-14,Republic of Korea,Republic of Korea,KOR,Badminton,BDM,NA,NA
LEE Soyoung,Female,1994-10-17,Republic of Korea,Republic of Korea,KOR,Volleyball,VVO,NA,1.76/5'9''
LEE Sungho,Male,1992-07-09,NA,Republic of Korea,KOR,Judo,JUD,NA,1.77/5'9''
LEE Sunisa,Female,2003-03-09,United States of America,United States of America,USA,Artistic Gymnastics,GAR,United States of America,1.52/4'11''
LEE Wai Sze,Female,1987-05-12,NA,"Hong Kong, China",HKG,Cycling Track,CTR,NA,NA
LEE Yang,Male,1995-08-12,Chinese Taipei,Chinese Taipei,TPE,Badminton,BDM,Chinese Taipei,NA
LEE Yooyeon,Male,2000-09-04,Republic of Korea,Republic of Korea,KOR,Swimming,SWM,NA,NA
LEE Youhyeon,Male,1997-02-08,Republic of Korea,Republic of Korea,KOR,Football,FBL,NA,1.79/5'10''
LEE Yunseo,Female,2003-03-05,NA,Republic of Korea,KOR,Artistic Gymnastics,GAR,NA,1.53/5'0''
LEE Zii Jia,Male,1998-03-29,Malaysia,Malaysia,MAS,Badminton,BDM,Malaysia,NA
LEFAU-FAKAOSILEA Alysia,Female,2000-11-05,NA,Australia,AUS,Rugby Sevens,RUG,NA,1.70/5'6''
LEFEBVRE Helene,Female,1991-02-26,France,France,FRA,Rowing,ROW,NA,1.70/5'6''
LEFORT Enzo,Male,1991-09-29,France,France,FRA,Fencing,FEN,France,NA
LEHACI Ana-Roxana,Female,1990-08-11,Romania,Austria,AUT,Canoe Sprint,CSP,NA,1.69/5'6''
LEHACI Florin,NA,NA,NA,Romania,ROU,NA,ROW,NA,NA
LEHIKOINEN Viivi,Female,1999-08-27,NA,Finland,FIN,Athletics,ATH,NA,NA
LEHIS Katrina,Female,1994-12-19,Estonia,Estonia,EST,Fencing,FEN,Estonia,NA
LEI Chien-Ying,Female,1990-04-17,NA,Chinese Taipei,TPE,Archery,ARC,NA,NA
LEIBFARTH Evy,Female,2004-01-26,United States of America,United States of America,USA,Canoe Slalom,CSL,United States of America,NA
LEICHMAN Alon,Male,1989-05-29,Israel,Israel,ISR,Baseball/Softball,BSB,NA,1.75/5'8''
LEILUA Eroni,Male,1993-04-15,New Zealand,Samoa (until 1996 Western Samoa),SAM,Sailing,SAL,New Zealand,1.80/5'10''
LEIMETER Dora,Female,1996-05-08,Hungary,Hungary,HUN,Water Polo,WPO,Hungary,NA
LEISHMAN Marc,Male,1983-10-24,Australia,Australia,AUS,Golf,GLF,United States of America,NA
LEITON ARRONES Paula,Female,2000-04-27,Spain,Spain,ESP,Water Polo,WPO,NA,1.89/6'2''
LEKNESSUND Andreas,Male,1999-05-21,Norway,Norway,NOR,Cycling Road,CRD,Norway,NA
LELEIVYTE Rasa,Female,1988-07-22,Lithuania,Lithuania,LTU,Cycling Road,CRD,Italy,NA
LELEUX ROMERO Morgann,Female,1992-11-14,NA,United States of America,USA,Athletics,ATH,United States of America,NA
LELIOR Anat,Female,2000-04-29,Israel,Israel,ISR,Surfing,SRF,Israel,NA
LEMAY-LAVOIE Elyse,Female,1994-11-12,Canada,Canada,CAN,Water Polo,WPO,Canada,1.74/5'8''
LEMBACH Charlotte,NA,NA,NA,France,FRA,NA,FEN,NA,NA
LEMBETHE Nduduza Peabo,Male,1996-01-13,South Africa,South Africa,RSA,Hockey,HOC,South Africa,NA
LEME Haline,Female,1992-08-09,Brazil,Brazil,BRA,Rugby Sevens,RUG,Brazil,1.69/5'6''
LEMI Teddese,Male,1999-01-20,NA,Ethiopia,ETH,Athletics,ATH,NA,NA
LEMKE Finn,Male,1992-04-30,Germany,Germany,GER,Handball,HBL,NA,2.10/6'10''
LEMKE Max,Male,1996-12-02,NA,Germany,GER,Canoe Sprint,CSP,NA,1.85/6'0''
LEMMA Sisay,Male,1990-12-12,NA,Ethiopia,ETH,Athletics,ATH,NA,NA
LEMMENS Silke,Female,1999-11-30,Belgium,Switzerland,SUI,Athletics,ATH,Switzerland,1.83/6'0''
LEMOS Ana Claudia,Female,1988-11-06,Brazil,Brazil,BRA,Athletics,ATH,NA,NA
LENDORE Deon,Male,1992-10-28,Trinidad and Tobago,Trinidad and Tobago,TTO,Athletics,ATH,United States of America,NA
LENNOX Hugo,Male,1999-03-06,NA,Ireland,IRL,Rugby Sevens,RUG,NA,1.77/5'9''
LEON Adriana,Female,1992-10-02,Canada,Canada,CAN,Football,FBL,Great Britain,1.60/5'2''
LEON Danny,Male,1994-12-01,Spain,Spain,ESP,Skateboarding,SKB,Spain,NA
LEON Karen,Female,1997-11-30,NA,Venezuela,VEN,Judo,JUD,Venezuela,NA
LEON VENERO Wilfredo,Male,1993-07-31,Cuba,Poland,POL,Volleyball,VVO,Poland,2.02/6'7''
LEONARDI Giuseppe,Male,1996-07-31,Italy,Italy,ITA,Athletics,ATH,Italy,NA
LEONG Mun Yee,Female,1984-12-04,Malaysia,Malaysia,MAS,Diving,DIV,Malaysia,NA
LEOTLELA Gift,Male,1998-05-12,South Africa,South Africa,RSA,Athletics,ATH,South Africa,NA
LEPAGE Alexis,Male,1994-04-26,Canada,Canada,CAN,Triathlon,TRI,Canada,1.94/6'4''
LEPAGE Pierce,Male,1996-01-22,Canada,Canada,CAN,Athletics,ATH,Canada,NA
LEPREVOST Penelope,Female,1980-08-01,France,France,FRA,Equestrian,EQU,NA,NA
LESAFFRE Fantine,Female,1994-11-10,France,France,FRA,Swimming,SWM,France,NA
LESCAY GAY Lester Alcides,Male,2001-10-15,Cuba,Cuba,CUB,Athletics,ATH,Cuba,NA
LESHUKOV Ilya,Male,1995-12-27,Russian Federation,ROC,ROC,Beach Volleyball,VBV,Russian Federation,1.90/6'2''
LESIEWICZ Kornelia,Female,2003-08-14,NA,Poland,POL,Athletics,ATH,Poland,NA
LESIUK Artem,Male,1996-11-30,Ukraine,Ukraine,UKR,Judo,JUD,Ukraine,NA
LESSMANN Lara,Female,2000-02-10,Germany,Germany,GER,Cycling BMX Freestyle,BMF,NA,1.63/5'4''
LETCHER Luke,Male,1994-06-11,NA,Australia,AUS,Rowing,ROW,NA,2.05/6'8''
LETH Julie,Female,1992-07-13,NA,Denmark,DEN,Cycling Track,CTR,NA,1.75/5'8''
LETICIA,Female,1994-08-13,Brazil,Brazil,BRA,Football,FBL,NA,1.74/5'8''
LETT Dane,Male,1990-08-29,NA,New Zealand,NZL,Hockey,HOC,NA,NA
LEUNG Bo Yee,Female,1993-11-21,NA,"Hong Kong, China",HKG,Cycling Track,CTR,NA,NA
LEUNG Janet,Female,1994-04-25,Canada,Canada,CAN,Baseball/Softball,BSB,Canada,1.69/5'6''
LEUNG Simon Wing Hang,Male,1996-11-24,Australia,Australia,AUS,Badminton,BDM,NA,NA
LEURINK Laurien,Female,1994-11-13,Netherlands,Netherlands,NED,Hockey,HOC,Netherlands,NA
LEUTA Matai,Male,1990-07-20,United States of America,United States of America,USA,Rugby Sevens,RUG,NA,1.89/6'2''
LEVAJAC Dimitrije,Male,2001-08-14,Bosnia and Herzegovina,Serbia,SRB,Table Tennis,TTE,NA,NA
LEVCHENKO Yuliya,Female,1997-11-28,Ukraine,Ukraine,UKR,Athletics,ATH,Ukraine,NA
LEVENT Nuray,Female,2000-05-08,Turkey,Turkey,TUR,Weightlifting,WLF,Turkey,NA
LEVERDEZ Brice,Male,1986-04-09,France,France,FRA,Badminton,BDM,France,NA
LEVERETT Henry Turner,NA,NA,NA,United States of America,USA,NA,SHO,NA,NA
LEVERETT III Jack Hobson,Male,2000-01-18,United States of America,United States of America,USA,Shooting,SHO,NA,1.73/5'8''
LEVI Maddison,Female,2002-04-27,NA,Australia,AUS,Rugby Sevens,RUG,NA,1.86/6'1''
LEVINS Cameron,Male,1989-03-28,Canada,Canada,CAN,Athletics,ATH,United States of America,NA
LEVIT Vassiliy,Male,1988-02-24,Kazakhstan,Kazakhstan,KAZ,Boxing,BOX,Kazakhstan,NA
LEVTEROV Kaloyan,Male,2003-02-08,NA,Bulgaria,BUL,Swimming,SWM,Bulgaria,NA
LEVY Maximilian,Male,1987-06-26,NA,Germany,GER,Cycling Track,CTR,NA,1.82/5'11''
LEVY Ronald,Male,1992-10-30,Jamaica,Jamaica,JAM,Athletics,ATH,NA,NA
LEVYTSKA-SHUKVANI Tetiana,Female,1990-04-07,Ukraine,Georgia,GEO,Judo,JUD,NA,NA
LEWANDOWSKI Marcin,Male,1987-06-13,Poland,Poland,POL,Athletics,ATH,Poland,NA
LEWIS Andrew,Male,1989-11-30,Trinidad and Tobago,Trinidad and Tobago,TTO,Sailing,SAL,Trinidad and Tobago,NA
LEWIS Clayton,Male,1997-02-12,New Zealand,New Zealand,NZL,Football,FBL,NA,1.73/5'8''
LEWIS Emily,Female,1993-05-15,Great Britain,Great Britain,GBR,Canoe Sprint,CSP,NA,1.69/5'6''
LEYNAUD Amandine,Female,1986-05-02,France,France,FRA,Handball,HBL,Hungary,1.78/5'10''
LEYVA YEPEZ Alfonso Antonio,Male,1993-01-06,Mexico,Mexico,MEX,Wrestling,WRE,NA,1.80/5'10''
LEYVER Jose,Male,1985-11-12,Mexico,Mexico,MEX,Athletics,ATH,Mexico,NA
LI Bingjie,Female,2002-03-03,People's Republic of China,People's Republic of China,CHN,Swimming,SWM,People's Republic of China,NA
LI Dongxiao,Female,1987-11-26,People's Republic of China,People's Republic of China,CHN,Hockey,HOC,NA,NA
LI Dongyin,Female,1995-07-06,NA,People's Republic of China,CHN,Canoe Sprint,CSP,NA,1.68/5'6''
LI Fabin,Male,1993-01-15,People's Republic of China,People's Republic of China,CHN,Weightlifting,WLF,People's Republic of China,NA
LI Haonan,Male,1999-07-13,People's Republic of China,People's Republic of China,CHN,3x3 Basketball,BK3,NA,1.97/6'5''
LI He,Female,2001-02-21,NA,People's Republic of China,CHN,Athletics,ATH,NA,NA
LI Hong,Female,1999-05-31,People's Republic of China,People's Republic of China,CHN,Hockey,HOC,NA,NA
LI Jialun,Male,1993-01-13,NA,People's Republic of China,CHN,Archery,ARC,NA,NA
LI Jiaqi,Female,1995-07-02,People's Republic of China,People's Republic of China,CHN,Hockey,HOC,People's Republic of China,NA
LI Jingjing,Female,1994-06-15,NA,People's Republic of China,CHN,Rowing,ROW,NA,NA
LI Jun Hui,Male,1995-05-10,People's Republic of China,People's Republic of China,CHN,Badminton,BDM,People's Republic of China,NA
LI Ling,Female,1989-07-06,People's Republic of China,People's Republic of China,CHN,Athletics,ATH,People's Republic of China,NA
LI Meng,Female,1995-01-02,People's Republic of China,People's Republic of China,CHN,Basketball,BKB,People's Republic of China,1.83/6'0''
LI Mengwen,Female,1995-03-28,People's Republic of China,People's Republic of China,CHN,Football,FBL,NA,1.66/5'5''
LI Michelle,Female,1991-11-03,"Hong Kong, China",Canada,CAN,Badminton,BDM,Canada,NA
LI Qian,Female,1990-06-06,NA,People's Republic of China,CHN,Boxing,BOX,People's Republic of China,NA
LI Qian,Female,1986-07-30,People's Republic of China,Poland,POL,Table Tennis,TTE,NA,NA
LI Qingtong,Female,1999-04-14,NA,People's Republic of China,CHN,Football,FBL,People's Republic of China,1.70/5'6''
LI Shixin,Male,1988-02-12,People's Republic of China,Australia,AUS,Diving,DIV,NA,NA
LI Shuhuan,Male,1996-10-25,NA,People's Republic of China,CHN,Modern Pentathlon,MPN,People's Republic of China,NA
LI Tong,Female,1988-10-08,People's Republic of China,People's Republic of China,CHN,Canoe Slalom,CSL,NA,NA
LI Wenwen,Female,2000-03-05,People's Republic of China,People's Republic of China,CHN,Weightlifting,WLF,People's Republic of China,NA
LI Yanan,Female,1994-04-27,People's Republic of China,People's Republic of China,CHN,Judo,JUD,NA,NA
LI Yaofeng,Male,1997-11-16,People's Republic of China,People's Republic of China,CHN,Equestrian,EQU,People's Republic of China,NA
LI Yin Hui,Female,1997-03-11,People's Republic of China,People's Republic of China,CHN,Badminton,BDM,People's Republic of China,NA
LI Yingying,Female,2000-02-19,People's Republic of China,People's Republic of China,CHN,Volleyball,VVO,People's Republic of China,1.92/6'3''
LI Yuan,Female,2000-05-29,People's Republic of China,People's Republic of China,CHN,Basketball,BKB,People's Republic of China,1.70/5'6''
LI Yuehong,Male,1989-08-28,People's Republic of China,People's Republic of China,CHN,Shooting,SHO,NA,NA
LI Yueru,Female,1999-03-28,People's Republic of China,People's Republic of China,CHN,Basketball,BKB,People's Republic of China,2.00/6'6''
LI Yuting,Female,2002-05-03,People's Republic of China,People's Republic of China,CHN,Athletics,ATH,NA,NA
LI Yvonne,Female,1998-05-30,Germany,Germany,GER,Badminton,BDM,Germany,NA
LI Zhenqiang,Male,1968-07-23,People's Republic of China,People's Republic of China,CHN,Equestrian,EQU,People's Republic of China,NA
LI Zhixuan,Female,1994-03-23,People's Republic of China,People's Republic of China,CHN,Athletics,ATH,People's Republic of China,NA
LIAKHOVICH Aliaksandr,Male,1989-07-04,Belarus,Belarus,BLR,Athletics,ATH,Belarus,NA
LIANG Meiyu,Female,1994-01-08,People's Republic of China,People's Republic of China,CHN,Hockey,HOC,People's Republic of China,NA
LIANG Ruiji,NA,NA,NA,People's Republic of China,CHN,NA,EQU,NA,NA
LIANG Xiaojing,Female,1997-04-07,People's Republic of China,People's Republic of China,CHN,Athletics,ATH,People's Republic of China,NA
LIANG Xinping,Female,1994-07-31,People's Republic of China,People's Republic of China,CHN,Artistic Swimming,SWA,NA,NA
LIAO Qiuyun,Female,1995-07-13,People's Republic of China,People's Republic of China,CHN,Weightlifting,WLF,NA,NA
LICHAGINA Yulia,Female,1994-04-07,NA,ROC,ROC,Fencing,FEN,Russian Federation,NA
LICWINKO Kamila,Female,1986-03-22,Poland,Poland,POL,Athletics,ATH,Poland,NA
LIEBIG Fabian,Male,1994-06-18,Germany,Germany,GER,Modern Pentathlon,MPN,Germany,NA
LIEBSCHER Tom,Male,1993-08-03,NA,Germany,GER,Canoe Sprint,CSP,NA,1.89/6'2''
LIEN Chen-Ling,Female,1988-01-31,Chinese Taipei,Chinese Taipei,TPE,Judo,JUD,NA,NA
LIENDO EDWARDS Joshua,Male,2002-08-20,NA,Canada,CAN,Swimming,SWM,Canada,NA
LIESER Ondrej,Male,1991-08-12,NA,Czech Republic,CZE,Golf,GLF,Czech Republic,1.92/6'3''
LIESS Nils,Male,1996-08-24,NA,Switzerland,SUI,Swimming,SWM,Sweden,NA
LIEW Li-Shan Chantal,Female,1998-08-09,NA,Singapore,SGP,Marathon Swimming,OWS,NA,NA
LIFANOV Alexander,Male,1996-04-15,Russian Federation,ROC,ROC,Modern Pentathlon,MPN,Russian Federation,NA
LIFU Mary Kini,Female,1994-10-15,Solomon Islands,Solomon Islands,SOL,Weightlifting,WLF,NA,NA
LIGHTFOOT Kc,Male,1999-11-11,NA,United States of America,USA,Athletics,ATH,NA,NA
LIHADJI Isaac,Male,2002-04-10,NA,France,FRA,Football,FBL,NA,1.77/5'9''
LIKMABAM Shushila Devi,Female,1995-02-01,India,India,IND,Judo,JUD,India,NA
LIKUCEVA Laisana,Female,1999-02-03,NA,Fiji,FIJ,Rugby Sevens,RUG,NA,1.69/5'6''
LILL Candice,Female,1992-02-15,South Africa,South Africa,RSA,Cycling Mountain Bike,MTB,South Africa,NA
LILLARD Damian,Male,1990-07-15,United States of America,United States of America,USA,Basketball,BKB,United States of America,1.91/6'3''
LILLEY Jake,Male,1993-07-20,Australia,Australia,AUS,Sailing,SAL,NA,NA
LIM Freida,Female,1998-02-07,NA,Singapore,SGP,Diving,DIV,NA,NA
LIM Kimberly Min,Female,1996-08-26,Singapore,Singapore,SGP,Sailing,SAL,NA,NA
LIMA Bruno,Male,1996-02-04,Argentina,Argentina,ARG,Volleyball,VVO,Argentina,1.98/6'5''
LIMA Felipe,Male,1985-04-05,Brazil,Brazil,BRA,Swimming,SWM,NA,NA
LIMA Jorge,Male,1981-01-29,Portugal,Portugal,POR,Sailing,SAL,Portugal,1.77/5'9''
LIMA Silvana,Female,1984-10-29,Brazil,Brazil,BRA,Surfing,SRF,Brazil,NA
LIMAI Asteria Uzo,Female,2001-07-19,NA,Belarus,BLR,Athletics,ATH,Belarus,1.73/5'8''
LIMARDO GASCON Ruben,Male,1985-08-03,Venezuela,Venezuela,VEN,Fencing,FEN,Poland,NA
LIMBERG Alex,Male,1996-11-27,South Africa,South Africa,RSA,Cycling BMX Racing,BMX,NA,NA
LIMTIACO Tasi,Male,1994-01-04,NA,Federated States of Micronesia,FSM,Swimming,SWM,Thailand,NA
LIN Chaopan,Male,1995-08-27,People's Republic of China,People's Republic of China,CHN,Artistic Gymnastics,GAR,People's Republic of China,1.63/5'4''
LIN Chen-Hao,Female,1997-10-26,NA,Chinese Taipei,TPE,Judo,JUD,NA,NA
LIN Chia-En,Female,1993-06-02,Chinese Taipei,Chinese Taipei,TPE,Archery,ARC,NA,NA
LIN Junmin,Male,1996-08-31,People's Republic of China,People's Republic of China,CHN,Shooting,SHO,People's Republic of China,NA
LIN Sheng,Female,1994-01-05,People's Republic of China,People's Republic of China,CHN,Fencing,FEN,People's Republic of China,NA
LIN Wenjun,Female,1997-06-03,NA,People's Republic of China,CHN,Canoe Sprint,CSP,NA,1.72/5'7''
LIN Xinyu,Female,1994-10-21,People's Republic of China,People's Republic of China,CHN,Rowing,ROW,People's Republic of China,NA
LIN Xiyu,Female,1996-02-25,People's Republic of China,People's Republic of China,CHN,Golf,GLF,People's Republic of China,NA
LIN Ye,Female,1996-02-01,NA,Singapore,SGP,Table Tennis,TTE,NA,NA
LIN Yik Hei Coco,Female,1995-02-19,NA,"Hong Kong, China",HKG,Fencing,FEN,NA,NA
LIN Ying-Shin,Female,1999-04-22,Chinese Taipei,Chinese Taipei,TPE,Shooting,SHO,NA,1.64/5'4''
LIN Yuemei,Female,1994-01-29,People's Republic of China,People's Republic of China,CHN,Shooting,SHO,People's Republic of China,NA
LIN Yun Ju,Male,2001-08-17,Chinese Taipei,Chinese Taipei,TPE,Table Tennis,TTE,NA,NA
LIN Yuping,Female,1992-02-28,People's Republic of China,People's Republic of China,CHN,Football,FBL,People's Republic of China,1.80/5'10''
LIN Yu-Ting,Female,1995-12-13,Chinese Taipei,Chinese Taipei,TPE,Boxing,BOX,NA,NA
LIN Zushen,Male,1994-03-01,People's Republic of China,People's Republic of China,CHN,Wrestling,WRE,NA,NA
LINCOLN Scott,Male,1993-05-07,NA,Great Britain,GBR,Athletics,ATH,Great Britain,NA
LINDAHL Hedvig,Female,1983-04-29,Sweden,Sweden,SWE,Football,FBL,Germany,1.79/5'10''
LINDEMANN Laura,Female,1996-06-26,Germany,Germany,GER,Triathlon,TRI,Germany,NA
LINDO ALVAREZ Nishi Lee,NA,NA,NA,Costa Rica,CRC,NA,TKW,NA,NA
LINDO Christabel,Female,1999-09-22,NA,Kenya,KEN,Rugby Sevens,RUG,Kenya,1.67/5'5''
LINDQVIST Emma,Female,1997-09-17,Sweden,Sweden,SWE,Handball,HBL,NA,1.77/5'9''
LINDSAY-HAGUE Ollie,Male,1990-10-08,Great Britain,Great Britain,GBR,Rugby Sevens,RUG,Great Britain,1.80/5'10''
LINDSKOG Anton,Male,1993-12-07,Sweden,Sweden,SWE,Handball,HBL,NA,1.98/6'5''
LINETTE Magda,Female,1992-02-12,Poland,Poland,POL,Tennis,TEN,Poland,1.71/5'7''
LINKE Christopher,Male,1988-10-24,Germany,Germany,GER,Athletics,ATH,Germany,NA
LINKIEWICZ Joanna,Female,1990-05-02,NA,Poland,POL,Athletics,ATH,NA,NA
LINSKENS Kyara,Female,1996-11-13,Belgium,Belgium,BEL,Basketball,BKB,Belgium,1.93/6'3''
LIPARTELIANI Eteri,Female,1999-09-23,NA,Georgia,GEO,Judo,JUD,Georgia,NA
LIPARTELIANI Varlam,Male,1989-02-27,Georgia,Georgia,GEO,Judo,JUD,Georgia,NA
LIPETZ Shlomo,Male,1979-02-11,Israel,Israel,ISR,Baseball/Softball,BSB,United States of America,1.95/6'4''
