name,gender,birth_date,country_code,discipline,function,event
FERRARO Hernan,Male,1968-05-13,ARG,Volleyball,Head Coach,Women
FISH Nate,Male,1980-01-02,ISR,Baseball/Softball,Coach,Baseball
FLOWERS Tairia,Female,1981-01-09,USA,Baseball/Softball,Coach,Softball
FOIREST Laurent,Male,1973-09-18,FRA,Basketball,Coach,NA
FORREST Scott,Male,1984-08-06,GBR,Rugby Sevens,Head Coach,Women
FRIDAY Mike,Male,1972-04-25,USA,Rugby Sevens,Head Coach,Men
FUENTES Andrea,Female,1983-04-07,USA,Artistic Swimming,Coach,Duet
FUERBRINGER Matthew,Male,1974-01-29,USA,Volleyball,Head Coach,NA
FUJIKI Mayuko,Female,1975-06-21,ESP,Artistic Swimming,Coach,Duet
FUJIKI Mayuko,Female,1975-06-21,ESP,Artistic Swimming,Coach,Team
FULI Saiasi,Male,1978-03-16,FIJ,Rugby Sevens,Head Coach,Women
GADEMAN Pasha,Male,1988-03-06,CAN,Hockey,Head Coach,Men
GAIDUKOV Aleksandr,Male,1974-01-10,ROC,Water Polo,Head Coach,Women
GARCIA Manuel,Male,1989-03-08,DOM,Baseball/Softball,Coach,Baseball
GARCIA Nestor,Male,1965-11-01,DOM,Basketball,Coach,NA
GARCIA PIZARRO Paula,Female,1978-11-10,COL,Artistic Swimming,Coach,Duet
GARNIER Valerie,Female,1965-01-09,FRA,Basketball,Coach,Women
GERHARDSSON Peter,Male,1959-08-22,SWE,Football,Head Coach,Women
GIACOBBE Antonio,Male,1947-02-12,TUN,Volleyball,Head Coach,Men
GIALLOMBARDO Patrizia,Female,1964-07-19,ITA,Artistic Swimming,Coach,Duet
GIALLOMBARDO Patrizia,Female,1964-07-19,ITA,Artistic Swimming,Coach,Team
GILLE Guillaume,Male,1976-07-12,FRA,Handball,Coach,Men
GINZBURG Ronen,Male,1963-09-19,CZE,Basketball,Coach,Men
GISLASON Alfred,Male,1959-09-07,GER,Handball,Coach,Men
GOJKOVIC Vladimir,Male,1981-01-29,MNE,Water Polo,Head Coach,Men
GOMEZ CORA Santiago,Male,1978-07-25,ARG,Rugby Sevens,Head Coach,Men
GOMEZ Gilbert,Male,1992-03-08,DOM,Baseball/Softball,Coach,Baseball
GONZALEZ Anibal,Male,1989-04-03,MEX,Football,Head Coach,NA
GONZALEZ JARENO Angel,Male,1960-12-07,ESP,Basketball,Coach,NA
GOORJIAN Brian Warwick,Male,1953-06-28,AUS,Basketball,Coach,Men
GORDO MANSILLA Juan David,Male,1970-02-02,ESP,Football,Head Coach,NA
GRAINGER Adam,Male,1980-07-06,IRL,Hockey,Coach,NA
GRAUPERA Cristina,Female,1993-08-03,GRE,Artistic Swimming,Coach,NA
GRAZIOSI Gianluca,Male,1965-10-01,ITA,Volleyball,Head Coach,NA
GRESKOWIAK Arne,Male,1984-07-28,GER,Basketball,Coach,NA
GRYZUNOVA Elena,Female,1960-01-28,ROC,Artistic Swimming,Coach,Team
GUERRERO LOPEZ Julen,Male,1974-01-07,ESP,Football,Head Coach,NA
GUERRERO Rolando,Male,1962-10-14,MEX,Baseball/Softball,Coach,Softball
GUERRERO Rolando,Male,1996-06-27,MEX,Baseball/Softball,Coach,Softball
GUIDETTI Giovanni,Male,1972-09-27,TUR,Volleyball,Head Coach,Women
GUILLEN Ronald,Male,1983-05-29,VEN,Basketball,Coach,NA
GUIMARAES Jose Roberto,Male,1954-07-31,BRA,Volleyball,Head Coach,Women
GUSTAVSSON Tony,Male,1973-08-14,AUS,Football,Head Coach,Women
HAGER Mark,Male,1964-04-28,GBR,Hockey,Head Coach,Women
HAIDARA Soualiho,Male,1974-12-30,CIV,Football,Head Coach,Men
HALD Simon,Male,1994-09-28,DEN,Handball,Coach,NA
HALKETT Rhett,Male,1986-05-02,NED,Hockey,Coach,NA
HAM Darvin de,Male,1973-07-23,NGR,Basketball,Coach,NA
HAMMETT Bianca,Female,1990-09-12,AUS,Artistic Swimming,Coach,Duet
HAMMETT Bianca,Female,1990-09-12,AUS,Artistic Swimming,Coach,Team
HARDY William,Male,1988-01-21,USA,Basketball,Coach,NA
HARROW Laing,Male,1970-04-03,AUS,Baseball/Softball,Head Coach,Softball
HARVEY Laura,Female,1980-05-15,USA,Football,Head Coach,NA
HAVENGA Arno,Male,1974-11-14,NED,Water Polo,Head Coach,Women
HAY Danny,Male,1975-05-15,NZL,Football,Head Coach,Men
HENKEL Claas,Male,1979-07-21,GER,Hockey,Coach,Men
HENNING Andre,Male,1983-12-03,CAN,Hockey,Coach,Men
HERGEIRSSON Thorir,Male,1964-04-27,NOR,Handball,Coach,Women
HERNANDEZ Anderson,Male,1982-10-30,DOM,Baseball/Softball,Coach,Baseball
HERNANDEZ FRAILE Jose Ignacio,Male,1969-08-12,ESP,Basketball,Coach,NA
HERNANDEZ Sergio,Male,1963-11-01,ARG,Basketball,Coach,Men
HEYNEN Vital,Male,1969-06-12,POL,Volleyball,Head Coach,Men
HIROSE Norikazu,Male,1974-12-30,JPN,Football,Head Coach,NA
HOAG Glenn,Male,1958-12-06,CAN,Volleyball,Head Coach,Men
HOLANEK Zoltan,Male,1975-08-08,HUN,Handball,Coach,NA
HOVASSE Thomas Wayne,Male,1967-01-31,JPN,Basketball,Coach,Women
HUGHES Daniel,Male,1993-07-16,USA,Basketball,Coach,NA
HUGHLEY JR Otis,Male,1964-09-25,NGR,Basketball,Coach,Women
IBATA Hirokazu,Male,1975-05-12,JPN,Baseball/Softball,Coach,Baseball
IMURA Masayo,Female,1950-08-16,JPN,Artistic Swimming,Coach,Duet
IMURA Masayo,Female,1950-08-16,JPN,Artistic Swimming,Coach,Team
IWABUCHI Kensuke,Male,1975-12-30,JPN,Rugby Sevens,Head Coach,Men
JACOBS Alex,Male,1987-06-01,ISR,Baseball/Softball,Coach,Baseball
JACOBSEN Nikolaj,Male,1971-11-22,DEN,Handball,Coach,Men
JARDINE Andre,Male,1979-09-08,BRA,Football,Head Coach,Men
JAUMA CAYUELA Esther,Female,1970-05-07,NED,Artistic Swimming,Coach,Duet
JENNINGS Dee,Female,1971-03-04,AUS,Hockey,Coach,NA
JEROME Essapa,Male,1965-09-22,CIV,Football,Head Coach,NA
JIA Xiuquan,Male,1963-03-23,CHN,Football,Head Coach,Women
JIMENEZ NIETO Cecilia,Female,1995-07-27,ESP,Artistic Swimming,Coach,Duet
JIN Kabyong,Male,1974-05-08,KOR,Baseball/Softball,Coach,Baseball
JOHNSON Vickie,Female,1972-04-15,USA,Basketball,Coach,NA
JONES Chris,Male,1967-04-19,CAN,Baseball/Softball,Coach,Softball
JONES Nathan,Male,1977-01-20,AUS,Baseball/Softball,Coach,Softball
KAISER Pierre,Male,1988-06-16,BEL,Basketball,Coach,NA
KANEKO Makoto,Male,1975-11-08,JPN,Baseball/Softball,Coach,Baseball
KANG Jae Won,Male,1965-11-30,KOR,Handball,Coach,Women
KANUNGO Bergin,Male,1962-09-09,ZAM,Football,Head Coach,NA
KAWASE Asaki,Female,1982-09-09,JPN,Football,Head Coach,NA
KAZAMA Takafumi,Male,1985-12-05,JPN,Football,Head Coach,NA
KELLER Florian,Male,1981-10-03,GER,Hockey,Coach,Women
KERRY Danny,Male,1970-12-02,GBR,Hockey,Head Coach,Men
KIM Chanbin,Male,1985-05-10,KOR,Football,Head Coach,NA
KIM Hagbum,Male,1960-03-01,KOR,Football,Head Coach,Men
KIM Jae Hyun,Male,1975-10-02,KOR,Baseball/Softball,Coach,Baseball
KIM Jongkook,Male,1973-09-14,KOR,Baseball/Softball,Coach,Baseball
KIRALY Karch,Male,1960-11-03,USA,Volleyball,Head Coach,Women
KIRKELY Ulrik,Male,1972-01-05,JPN,Handball,Coach,Women
KIRKPATRICK Andrew,Male,1984-05-06,AUS,Baseball/Softball,Coach,Softball
KITABAYASHI Kenji,Male,1967-12-29,JPN,Handball,Coach,NA
KLARENBEEK Auke,Male,1976-07-20,NED,Handball,Coach,NA
KNEZEVIC Nemanja,Male,1984-01-11,KAZ,Water Polo,Head Coach,Men
KOFFI Anthony,Male,1953-09-13,CIV,Football,Head Coach,NA
KONSTANTINOV Aleksei,Male,1983-06-17,ROC,Volleyball,Head Coach,NA
KRIKORIAN Adam,Male,1974-07-22,USA,Water Polo,Head Coach,Women
KRIST JANSSON Aron,Male,1972-07-14,BRN,Handball,Coach,Men
KRUMBHOLZ Olivier,Male,1958-07-12,FRA,Handball,Coach,Women
KULESZA Kasia,Female,1976-08-29,CAN,Artistic Swimming,Coach,Team
KUNTZ Stefan,Male,1962-10-30,GER,Football,Head Coach,Men
KUZIN Andrey,Male,1978-10-29,ROC,Rugby Sevens,Head Coach,Women
KWIEK Marcos,Male,1967-07-18,DOM,Volleyball,Head Coach,Women
LAIDLAW Clark,Male,1977-07-16,NZL,Rugby Sevens,Head Coach,Men
LAMAS Julio,Male,1964-06-09,JPN,Basketball,Coach,Men
LANG Ping,Female,1960-12-10,CHN,Volleyball,Head Coach,Women
LAVARINI Stefano,Male,1979-01-17,KOR,Volleyball,Head Coach,Women
LAZARO CORRAL Jesus,Male,1971-12-21,ESP,Basketball,Coach,NA
LEE Jong Yeol,Male,1973-01-28,KOR,Baseball/Softball,Coach,Baseball
LETELIER Jose,Male,1966-05-23,CHI,Football,Head Coach,Women
LOCK Adrian Mayner,Male,1976-02-23,ESP,Hockey,Head Coach,Women
LOFTUS Adriana,Female,1958-06-28,MEX,Artistic Swimming,Coach,Duet
LOPES BARBOSA Leonard,Male,1982-07-04,KEN,Volleyball,Head Coach,NA
LOPEZ GUILLEN Melvyn,Male,1974-07-05,DOM,Basketball,Coach,NA
LOPEZ Monica Susana,Female,1959-12-19,ARG,Artistic Swimming,Coach,NA
LORRAINE Andrew,Male,1972-08-11,ISR,Baseball/Softball,Coach,Baseball
LOUCKS Luke,Male,1990-04-01,NGR,Basketball,Coach,NA
LOZANO Jaime,Male,1978-09-29,MEX,Football,Head Coach,Men
MACEK Anze,Male,1991-06-10,SLO,Basketball,Coach,NA
MACKINTOSH Euan,Male,1985-09-06,CHN,Rugby Sevens,Head Coach,Women
MAEDA Kenzo,Male,1982-06-27,JPN,Basketball,Coach,NA
MAHLANGU Sibusiso,Male,1984-02-12,RSA,Football,Head Coach,NA
MAKIRI Hare,Male,1978-05-31,JPN,Rugby Sevens,Head Coach,Women
MALJKOVIC Marina,Female,1981-09-26,SRB,Basketball,Coach,Women
MANENTI John,Male,1971-03-30,AUS,Rugby Sevens,Head Coach,Women
MANZANILLO Andres,Male,1977-08-01,VEN,Volleyball,Head Coach,NA
MARCZ Tamas,Male,1974-07-17,HUN,Water Polo,Head Coach,Men
MARIJNE Sjoerd,Male,1974-04-20,IND,Hockey,Head Coach,Women
MARINELLI Fernando,Male,1979-09-27,CHI,Football,Head Coach,NA
